Timestamp,Student number ,What type of learner would you consider yourself to be?,Did you find the teaching materials easy to access?,Did you find the teaching materials easy to read?,Did you watch any videos made available to you before a lecture on a particular subject?,Did you watch any videos available to you after a lecture on a particular subject?,Did you find the use of a mathematics computer package (Sage) useful in the lab session?,Did you use a mathematics computer package (Sage) whilst working away from class?,Did you look at any of my posts on G+ relevant to MAT001?,With regards to any of the above questions please feel free to comment further.,What parts of the first 4 week of MAT001 did you find troublesome?,With regards to the above question please feel free to comment further.,What parts of the first 4 week of MAT001 where you most motivated to do well in?,With regards to the above question please feel free to comment further.,If you have any other comments please feel free to put them down here.
23/10/2012 11:04:08,,Convergers are characterized by abstract conceptualization and active experimentation. They are good at making practical applications of ideas and using deductive reasoning to solve problems.,Yes,Yes,No,Yes,Yes,No,No,,"Reliability Theory, Inventory Theory",,"Markov Chains, Queueing Theory",,
23/10/2012 11:06:43,918368,Assimilators are characterized by abstract conceptualization and reflective observation. They are capable of creating theoretical models by means of inductive reasoning.,Yes,Yes,Yes,No,Yes,No,Yes,,Inventory Theory,,"Decision Analysis, Game Theory, Reliability Theory, Inventory Theory, Markov Chains, Queueing Theory, Project Management",,
23/10/2012 11:07:21,,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,Yes,Yes,Yes,Yes,Yes,No,,"Markov Chains, Queueing Theory",,"Decision Analysis, Reliability Theory, Inventory Theory",,
23/10/2012 11:07:55,,Convergers are characterized by abstract conceptualization and active experimentation. They are good at making practical applications of ideas and using deductive reasoning to solve problems.,Yes,Yes,Yes,Yes,No,No,Yes,,Decision Analysis,,Markov Chains,,
23/10/2012 11:08:26,c0827699,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,Yes,No,Yes,Yes,Yes,,,Reliability Theory,,Project Management,,
23/10/2012 11:08:28,1160929,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,Yes,Yes,No,Yes,No,Yes,,Queueing Theory,,"Game Theory, Project Management","I've covered these topics before and enjoy learning them, so I'm happy to put the time in to do the exercise sheets.",
23/10/2012 11:08:30,,Assimilators are characterized by abstract conceptualization and reflective observation. They are capable of creating theoretical models by means of inductive reasoning.,Yes,Yes,Yes,No,Yes,Yes,Yes,,Game Theory,,"Markov Chains, Queueing Theory",,
23/10/2012 11:09:52,,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,No,Yes,No,No,Yes,No,No,,"Reliability Theory, Queueing Theory",,"Decision Analysis, Game Theory, Reliability Theory, Inventory Theory, Markov Chains, Queueing Theory, Project Management",I found Queuing theory the most challenging but also the most practical in everyday life. It is an area I would consider doing my final project in. That is why I was motivated to stay engaged with it.,"Material and delivery were good. The subject requires a lot of self study in order to keep up  (which is only expected for a Masters level course). The pace was reasonable and the explanation was sufficient.

However, the use of negative questions such as ""is there anyone who DOESN'T understand what I just said"" MAY be intimidating to some students."
23/10/2012 11:10:11,,Convergers are characterized by abstract conceptualization and active experimentation. They are good at making practical applications of ideas and using deductive reasoning to solve problems.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Inventory Theory,,"Game Theory, Markov Chains",,
23/10/2012 11:10:23,,Convergers are characterized by abstract conceptualization and active experimentation. They are good at making practical applications of ideas and using deductive reasoning to solve problems.,Yes,Yes,No,No,Yes,No,No,"I felt the lectures were sufficient to understand the concepts, and the exercise sheets sufficient to cement this knowledge. If I had missed lectures, or when I come to revise, I imagine I will find the videos helpful.","Reliability Theory, Inventory Theory",,"Decision Analysis, Game Theory, Reliability Theory, Inventory Theory, Queueing Theory",I found these the most interesting and/or challenging,
23/10/2012 11:10:56,c1259103,Assimilators are characterized by abstract conceptualization and reflective observation. They are capable of creating theoretical models by means of inductive reasoning.,Yes,Yes,No,No,Yes,No,Yes,promote the G+ page more,,all topics were fine - unsure whether or not exam will come as a shock given lecture material is easy,Project Management,motivated to work well in project management as this is the only subject I havn't studied before in the first 4 weeks,"clear lecturer - printed exercise sheets would be great so we can work on examples immediately in problem classes, without having to log on and work at a computer. "
23/10/2012 11:11:26,,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,Yes,No,Yes,No,No,No,As we are not able to use the sage package during the exam i felt spending an hour each week learning it was a waste of my time. I understand that it useful in visualizing problems and checking answers at home but i would have rathered been given the training material needed to do in my own time if i wanted and spent more time doing example questions.,"Reliability Theory, Queueing Theory","Reliability theory i didn't feel had enough examples, which made the exercise sheet more difficult. There were lots of tricks that didn't seem to be highlighted in the notes.

Queueing theory felt like a big step up in terms of the amount of information we were being given, hence why the class seemed dead by 2:30, if there is a way to split this out a bit more or cut one of the subjects down that would be good.","Markov Chains, Queueing Theory, Project Management",I chose these as i think they will be the most useful in the real world,"Enjoyed the subjects for the most part, thought the lecturing was good, easy to get help from lecturer or PHD students who are all approachable."
23/10/2012 11:12:51,,,Yes,Yes,Yes,No,,Yes,Yes,,Reliability Theory,,"Markov Chains, Queueing Theory, Project Management",,
23/10/2012 11:14:05,,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,Yes,No,Yes,No,No,No,,Inventory Theory,,"Decision Analysis, Game Theory, Reliability Theory, Inventory Theory, Markov Chains, Queueing Theory, Project Management",,
23/10/2012 11:14:22,923189,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,Yes,Yes,No,No,No,Yes,I sometimes feel the content was rushed -areas which were maybe more difficult were skimmed over wheras too much time was sometimes spent on basics. ,"Inventory Theory, Queueing Theory","The inventory theory notes were very long and it felt rushed. 
I would have preferred the lecture notes/lecture to be structured in distinct types of stock models. ie a summary specifying the main differences. ","Decision Analysis, Game Theory, Reliability Theory, Markov Chains",Game theory was a new topic and i was interested in it. ,
23/10/2012 11:15:17,,Convergers are characterized by abstract conceptualization and active experimentation. They are good at making practical applications of ideas and using deductive reasoning to solve problems.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Really easy to access notes using the website.,Reliability Theory,"I think this section simply needs more of everything; more explanation, examples and exercises. I've done the exercises and understood, mostly, how we reached the answers, but I couldn't do them without the solutions and have no confidence that I could answer them in the exam. The other topics are really easy and clean cut but this one requires a good working knowledge of mathematical techniques and probability theory, making it all more difficult.",Reliability Theory,Just because I found it hardest and most complicated,
23/10/2012 11:15:47,,Convergers are characterized by abstract conceptualization and active experimentation. They are good at making practical applications of ideas and using deductive reasoning to solve problems.,Yes,No,Yes,Yes,No,No,Yes,"they are helpful. 
thanks very much for Dr.Vincent","Reliability Theory, Markov Chains","it's a little complecated. 
I think I need more exercise sheet to practice in order to be familar with these theory","Decision Analysis, Game Theory, Queueing Theory",it's interesting actually,I hope we have more exercise sheet regarding to our lecture.
23/10/2012 11:19:59,,Accommodators use concrete experience and active experimentation. They are good at actively engaging with the world and actually doing things instead of merely reading about and studying them.,Yes,No,Yes,Yes,Yes,Yes,Yes,Notes and solutions take a lot of stuff for granted. They are not have the appropiate detailed data for a student to build on them. Not all of the students come from a mathematical undergraduate or background. ,"Reliability Theory, Queueing Theory","These are tougher than the other topics. Altough there is a limit amount of time, maybe some numeric examples in class to understand the formulas would be better. ","Game Theory, Markov Chains",,
23/10/2012 11:20:36,,,Yes,Yes,Yes,Yes,Yes,No,No,In the solutions to check your own answer to the correct solution it was difficult to find points of mistakes as the solutions had little explanation surrounding them. There were also mistakes making you feel like you lack the understanding or you are doing things wrong leading to frustration.,Decision Analysis,I struggled with making the decision trees in this topic.,Game Theory,,i thought it was delivered reasonably. I don't believe questions asked in class were answered to the detail the questioner intended leaving to people remaining puzzled and lacking the understanding.
